,cell_type1,total_features,log10_total_features,total_counts,log10_total_counts,pct_counts_top_50_features,pct_counts_top_100_features,pct_counts_top_200_features,pct_counts_top_500_features,total_features_endogenous,log10_total_features_endogenous,total_counts_endogenous,log10_total_counts_endogenous,pct_counts_endogenous,pct_counts_top_50_features_endogenous,pct_counts_top_100_features_endogenous,pct_counts_top_200_features_endogenous,pct_counts_top_500_features_endogenous,total_features_feature_control,log10_total_features_feature_control,total_counts_feature_control,log10_total_counts_feature_control,pct_counts_feature_control,pct_counts_top_50_features_feature_control,total_features_ERCC,log10_total_features_ERCC,total_counts_ERCC,log10_total_counts_ERCC,pct_counts_ERCC,pct_counts_top_50_features_ERCC,is_cell_control
X2cell_1_A,2cell,15030,4.17698787480081,1567960,6.19533525624674,21.4370264547565,26.1374014643231,32.7378887216511,45.5197836679507,15007,4.17632282103499,1567295,6.19515102520297,99.9575882037807,21.4461221403756,26.1484915092564,32.7517793395627,45.5390976172322,23,1.38021124171161,665,2.8234742291703,0.0424117962192913,100,23,1.38021124171161,665,2.8234742291703,0.0424117962192913,100,FALSE
X2cell_1_B,2cell,14217,4.15283850989222,884635,5.94676460887851,19.8956631831207,24.9530032160156,31.858450095237,45.086730685537,14196,4.15219658233421,884127,5.94651514472968,99.9425751863763,19.9070947952048,24.9673406648592,31.8767552625358,45.1126365329868,21,1.34242268082221,508,2.70671778233676,0.0574248136236979,100,21,1.34242268082221,508,2.70671778233676,0.0574248136236979,100,FALSE
X2cell_2_A,2cell,14437,4.15950703747732,1203310,6.0803778867981,19.4033956337103,24.6676251340054,31.8177360779849,45.3827359533287,14415,4.15884477363499,1202679,6.08015008891825,99.9475613100531,19.4135758585624,24.680567300169,31.834429635838,45.4065465514905,22,1.36172783601759,631,2.80071707828239,0.0524386899468965,100,22,1.36172783601759,631,2.80071707828239,0.0524386899468965,100,FALSE
X2cell_2_B,2cell,14760,4.16911578023571,1079091,6.03305847284701,19.864311721625,24.3996104128382,30.9321456670475,43.751731781657,14739,4.16849748352303,1078496,6.03281894138547,99.944860998748,19.8752707474112,24.4130715366585,30.949210752752,43.7758693588108,21,1.34242268082221,595,2.77524625974024,0.0551390012519797,100,21,1.34242268082221,595,2.77524625974024,0.0551390012519797,100,FALSE
X2cell_3_A,2cell,15966,4.20322332529091,2407749,6.38161139153223,23.4589236668772,27.8737110886558,34.2452639373955,46.6830637246657,15944,4.20262452357898,2406600,6.38140409282502,99.9522790789239,23.4701238261448,27.8870190309981,34.2616138951217,46.7053519488074,22,1.36172783601759,1149,3.06069784035361,0.0477209210760756,100,22,1.36172783601759,1149,3.06069784035361,0.0477209210760756,100,FALSE
X2cell_3_B,2cell,15224,4.18255730130491,1335136,6.12552583146188,18.8496153200872,23.4778329698248,30.0624056275915,42.9395956666587,15199,4.18184358794477,1334610,6.12535470002892,99.9606032643865,18.8570443800061,23.4870861150448,30.0742539018889,42.9565191329302,25,1.41497334797082,526,2.72181061521255,0.0393967356134506,100,25,1.41497334797082,526,2.72181061521255,0.0393967356134506,100,FALSE
ME_4cell_1_A,4cell,13146,4.11882666293329,913347,5.9606362821167,20.9206358590985,27.4170714963754,35.7468738606466,49.922756630284,13125,4.1181323999209,912792,5.96037230091823,99.9392344859073,20.933356120562,27.433741750585,35.7686088396918,49.9531108949246,21,1.34242268082221,555,2.74507479158206,0.0607655140926723,100,21,1.34242268082221,555,2.74507479158206,0.0607655140926723,100,FALSE
ME_4cell_1_B,4cell,13170,4.11961874975257,951921,5.97860136397544,20.6625339707812,27.2251583902446,35.4899198567948,49.8125369647271,13151,4.11899180019598,951241,5.97829101735238,99.9285655007086,20.6773046998605,27.2446204484458,35.5152900263971,49.8481457380411,19,1.30102999566398,680,2.83314711191279,0.0714344992914328,100,19,1.30102999566398,680,2.83314711191279,0.0714344992914328,100,FALSE
ME_4cell_1_C,4cell,12848,4.10886932911623,847809,5.92829853480734,20.3703900288862,26.6661476818482,34.8733028311801,48.8512153091085,12831,4.10829435094009,847202,5.92798748496668,99.928403685264,20.3849849268533,26.6852533398174,34.8982887198094,48.8862160382058,17,1.25527250510331,607,2.78390357927274,0.0715963147359842,100,17,1.25527250510331,607,2.78390357927274,0.0715963147359842,100,FALSE
ME_4cell_1_D,4cell,13269,4.12287092286444,1029362,6.01256855367069,23.1657084679637,29.2614260095088,37.5321801271079,51.419422904673,13249,4.12221587827283,1028469,6.01219162804389,99.9132472346949,23.1858228104104,29.2868331471342,37.5647686026511,51.464069408023,20,1.32221929473392,893,2.95133751879592,0.0867527653051113,100,20,1.32221929473392,893,2.95133751879592,0.0867527653051113,100,FALSE
